PID	Sample_run	chr	LTR	provirus_orientation	bp_pseudo3LTR
1079	1079_PBMC	chr14	3LTR	+	43715766
1079	1079_PBMC	chr14	3LTR	+	53126018
1079	1079_PBMC	chr14	3LTR	+	69787378
1079	1079_PBMC	chr14	3LTR	-	96790698
1079	1079_PBMC	chr14	3LTR	-	101185853
1079	1079_PBMC	chr14	5LTR	+	104041582
1079	1079_PBMC	chr15	3LTR	+	41030633
1079	1079_PBMC	chr15	3LTR	-	60888637
1079	1079_PBMC	chr15	3LTR	+	75725616
1079	1079_PBMC	chr15	3LTR	-	77360734
1079	1079_PBMC	chr16	3LTR	+	2045644
1079	1079_LN	chr16	3LTR	+	14596577
1079	1079_PBMC	chr16	3LTR	+	21824114
1079	1079_LN	chr16	3LTR	+	28197718
1079	1079_PBMC	chr16	3LTR	-	28211627
1079	1079_LN	chr16	3LTR	-	28595727
1079	1079_LN	chr16	3LTR	-	29596068
1079	1079_PBMC	chr16	3LTR	-	30809566
1079	1079_PBMC	chr16	3LTR	+	47478074
1079	1079_LN	chr16	3LTR	+	53489566
1079	1079_PBMC	chr16	3LTR	-	67670153
1079	1079_PBMC	chr16	3LTR	-	67932880
1079	1079_PBMC	chr16	3LTR	+	69338771
1079	1079_PBMC	chr16	3LTR	-	69616237
1079	1079_PBMC	chr16	3LTR	-	69632670
1079	1079_PBMC	chr16	3LTR	+	70518420
1079	1079_PBMC	chr16	3LTR	+	70518420
1079	1079_PBMC	chr16	3LTR	+	74534207
1079	1079_LN	chr16	3LTR	-	88855131
1079	1079_PBMC	chr16	3LTR	+	89547238
1079	1079_PBMC	chr16	3LTR	-	89791250
1079	1079_PBMC	chr16	3LTR	+	89798554
1079	1079_PBMC	chr16	3LTR	-	90045323
1079	1079_LN	chr17	3LTR	+	2343918
1079	1079_PBMC	chr17	3LTR	+	6907182
1079	1079_PBMC	chr17	3LTR	+	7244836
1079	1079_PBMC	chr17	3LTR	+	8070182
1079	1079_PBMC	chr17	3LTR	-	14041785
1079	1079_LN	chr17	3LTR	+	26436881
1079	1079_PBMC	chr17	3LTR	+	26443148
1079	1079_PBMC	chr17	3LTR	+	35929017
1079	1079_PBMC	chr17	3LTR	-	40398200
1079	1079_LN	chr17	3LTR	-	40416030
1079	1079_LN	chr17	3LTR	-	73973910
1079	1079_LN	chr17	3LTR	+	74741774
1079	1079_PBMC	chr17	3LTR	-	78277619
1079	1079_PBMC	chr17	3LTR	-	78277619
1079	1079_PBMC	chr17	3LTR	-	78277619
1079	1079_PBMC	chr19	3LTR	-	1081320
1079	1079_PBMC	chr19	3LTR	+	5974582
1079	1079_PBMC	chr19	3LTR	+	12714512
1079	1079_PBMC	chr19	3LTR	+	12714512
1079	1079_PBMC	chr19	3LTR	+	14634923
1079	1079_PBMC	chr19	3LTR	+	16472214
1079	1079_PBMC	chr19	3LTR	-	34925982
1079	1079_LN	chr19	3LTR	-	36243167
1079	1079_PBMC	chr19	3LTR	-	37074690
1079	1079_PBMC	chr19	3LTR	-	40467425
1079	1079_PBMC	chr19	3LTR	-	41298533
1079	1079_LN	chr19	3LTR	-	42631691
1079	1079_LN	chr19	3LTR	+	49801104
1079	1079_LN	chr19	3LTR	-	50087132
1079	1079_PBMC	chr19	3LTR	-	50377139
1079	1079_PBMC	chr19	3LTR	+	50389780
1079	1079_PBMC	chr19	3LTR	+	50410160
1079	1079_PBMC	chr19	3LTR	+	53160222
1079	1079_PBMC	chr19	3LTR	+	57774482
1079	1079_PBMC	chr2	3LTR	-	38789705
1079	1079_LN	chr2	3LTR	+	39052306
1079	1079_PBMC	chr2	3LTR	-	42944467
1079	1079_PBMC	chr2	3LTR	+	60571395
1079	1079_LN	chr2	5LTR	+	112907730
1079	1079_PBMC	chr2	5LTR	+	112907730
1079	1079_PBMC	chr2	3LTR	+	149038469
1079	1079_PBMC	chr2	3LTR	+	191863995
1079	1079_PBMC	chr2	3LTR	-	195822764
1079	1079_PBMC	chr2	3LTR	-	219457822
1079	1079_LN	chr20	3LTR	+	1339445
1079	1079_PBMC	chr20	3LTR	+	13397324
1079	1079_PBMC	chr20	3LTR	+	17927388
1079	1079_PBMC	chr20	3LTR	-	20531143
1079	1079_PBMC	chr20	3LTR	+	22185694
1079	1079_PBMC	chr20	3LTR	-	32980341
1079	1079_LN	chr20	3LTR	-	37144118
1079	1079_PBMC	chr20	3LTR	-	57232238
1079	1079_PBMC	chr20	3LTR	+	62647046
1079	1079_PBMC	chr21	3LTR	+	34890408
1079	1079_PBMC	chr21	3LTR	-	46562689
1079	1079_PBMC	chr21	3LTR	+	48096686
1079	1079_PBMC	chr22	3LTR	-	35875694
1079	1079_PBMC	chr22	3LTR	-	39098740
1079	1079_PBMC	chr22	3LTR	-	39098740
1079	1079_PBMC	chr22	3LTR	-	39098740
1079	1079_LN	chr22	3LTR	+	40863123
1079	1079_PBMC	chr3	5LTR	-	14181511
1079	1079_PBMC	chr3	3LTR	+	31634911
1079	1079_PBMC	chr3	5LTR	-	41071810
1079	1079_LN	chr3	3LTR	+	49788394
1079	1079_PBMC	chr3	3LTR	-	50013515
1079	1079_PBMC	chr3	3LTR	-	60028569
1079	1079_PBMC	chr3	3LTR	-	99857834
1079	1079_LN	chr3	3LTR	+	134812319
1079	1079_PBMC	chr3	3LTR	+	150095567
1079	1079_LN	chr3	3LTR	+	170999832
1079	1079_PBMC	chr4	3LTR	+	764190
1079	1079_PBMC	chr4	5LTR	-	2801473
1079	1079_PBMC	chr4	3LTR	+	22289210
1079	1079_PBMC	chr4	3LTR	+	32024757
1079	1079_PBMC	chr4	3LTR	+	34717349
1079	1079_PBMC	chr4	3LTR	+	48693307
1079	1079_PBMC	chr4	5LTR	-	90221068
1079	1079_PBMC	chr4	3LTR	-	123080682
1079	1079_PBMC	chr4	3LTR	-	140218359
1079	1079_LN	chr4	3LTR	+	143064363
1079	1079_PBMC	chr4	3LTR	+	149277394
1079	1079_LN	chr4	3LTR	-	163122027
1079	1079_PBMC	chr5	3LTR	-	6643704
1079	1079_PBMC	chr5	5LTR	-	72465506
1079	1079_PBMC	chr5	3LTR	-	96048443
1079	1079_PBMC	chr5	3LTR	+	105208733
1079	1079_LN	chr5	3LTR	-	109163152
1079	1079_PBMC	chr5	5LTR	+	119688710
1079	1079_LN	chr5	3LTR	-	136286879
1079	1079_PBMC	chr5	3LTR	-	150584181
1079	1079_LN	chr5	5LTR	+	159380548
1079	1079_PBMC	chr5	3LTR	-	172429382
1079	1079_PBMC	chr6	3LTR	+	31470141
1079	1079_PBMC	chr6	3LTR	-	32930542
1079	1079_LN	chr6	3LTR	-	33562068
1079	1079_PBMC	chr6	3LTR	+	36022405
1079	1079_PBMC	chr6	3LTR	-	37235669
1079	1079_LN	chr6	3LTR	+	90739375
1079	1079_PBMC	chr7	3LTR	-	2807348
1079	1079_LN	chr7	3LTR	-	4727812
1079	1079_LN	chr7	3LTR	+	7290220
1079	1079_LN	chr7	3LTR	-	64859124
1079	1079_PBMC	chr7	3LTR	+	106546263
1079	1079_PBMC	chr7	3LTR	+	133084773
1079	1079_PBMC	chr7	3LTR	-	150351927
1079	1079_PBMC	chr7	3LTR	+	152054618
1079	1079_PBMC	chr8	3LTR	-	11176287
1079	1079_LN	chr8	5LTR	+	27522660
1079	1079_LN	chr8	3LTR	-	53763251
1079	1079_PBMC	chr8	3LTR	+	87430679
1079	1079_PBMC	chr8	3LTR	+	91025695
1079	1079_LN	chr8	3LTR	-	107090883
1079	1079_PBMC	chr8	3LTR	+	126155941
1079	1079_PBMC	chr8	3LTR	-	126976450
1079	1079_PBMC	chr8	3LTR	-	133352655
1079	1079_PBMC	chr8	3LTR	-	145530166
1079	1079_PBMC	chr9	3LTR	+	3518347
1079	1079_LN	chr9	3LTR	-	30816018
1079	1079_PBMC	chr9	3LTR	-	30816018
1079	1079_PBMC	chr9	3LTR	-	30816018
1079	1079_PBMC	chr9	3LTR	-	30816018
1079	1079_PBMC	chr9	3LTR	-	30816018
1079	1079_PBMC	chr9	3LTR	+	33052224
1079	1079_PBMC	chr9	3LTR	+	80621862
1079	1079_PBMC	chr9	3LTR	-	91948251
1079	1079_LN	chr9	3LTR	+	92956599
1079	1079_LN	chr9	3LTR	-	98845403
1079	1079_PBMC	chrX	3LTR	-	12825156
1079	1079_LN	chrX	3LTR	-	38148292
1079	1079_LN	chrX	3LTR	+	70817571
1079	1079_PBMC	chrX	3LTR	-	80477113
1079	1079_PBMC	chrX	5LTR	+	101410746
1079	1079_LN	chrX	3LTR	-	118734485
1079	1079_PBMC	chrX	3LTR	+	129236973
1079	1079_LN	chrX	3LTR	-	148309965
1079	1079_PBMC	chrX	3LTR	+	153542414
1079	1079_PBMC	chrX	3LTR	-	154335970
1683	1683_LN	chr1	3LTR	-	1187079
1683	1683_LN	chr1	5LTR	-	1187079
1683	1683_PBMC	chr1	5LTR	-	1319008
1683	1683_PBMC	chr1	5LTR	+	10147602
1683	1683_PBMC	chr1	3LTR	+	21390980
1683	1683_PBMC	chr1	5LTR	+	25847026
1683	1683_PBMC	chr1	5LTR	-	26708191
1683	1683_PBMC	chr1	3LTR	+	33299831
1683	1683_LN	chr1	3LTR	-	36446285
1683	1683_LN	chr1	5LTR	-	36446285
1683	1683_LN	chr1	3LTR	-	39713134
1683	1683_PBMC	chr1	5LTR	+	43635100
1683	1683_LN	chr1	3LTR	+	45921456
1683	1683_PBMC	chr1	5LTR	+	109540742
1683	1683_LN	chr1	5LTR	-	111425492
1683	1683_LN	chr1	3LTR	-	112168819
1683	1683_PBMC	chr1	3LTR	-	112168819
1683	1683_PBMC	chr1	3LTR	-	112168819
1683	1683_PBMC	chr1	3LTR	-	117961453
1683	1683_LN	chr1	5LTR	+	143732432
1683	1683_LN	chr1	5LTR	+	147919938
1683	1683_PBMC	chr1	5LTR	-	150546891
1683	1683_PBMC	chr1	3LTR	-	155504083
1683	1683_PBMC	chr1	3LTR	+	175984464
1683	1683_LN	chr1	5LTR	-	235172960
1683	1683_PBMC	chr10	5LTR	+	6116423
1683	1683_PBMC	chr10	5LTR	+	75959312
1683	1683_LN	chr10	3LTR	-	97904645
1683	1683_LN	chr10	5LTR	-	97904645
1683	1683_PBMC	chr11	3LTR	+	665966
1683	1683_PBMC	chr11	5LTR	-	3368169
1683	1683_PBMC	chr11	5LTR	+	28097070
1683	1683_LN	chr11	5LTR	+	34100772
1683	1683_LN	chr11	3LTR	+	59327807
1683	1683_LN	chr11	5LTR	-	59836408
1683	1683_LN	chr11	5LTR	+	63456357
1683	1683_PBMC	chr11	3LTR	-	65211496
1683	1683_PBMC	chr11	5LTR	+	65242627
1683	1683_PBMC	chr11	5LTR	+	66913332
1683	1683_PBMC	chr11	3LTR	-	66946228
1683	1683_PBMC	chr11	3LTR	-	71760937
1683	1683_LN	chr11	3LTR	-	72060141
1683	1683_LN	chr11	3LTR	+	72610874
1683	1683_PBMC	chr11	3LTR	+	73179918
1683	1683_LN	chr11	3LTR	+	73303016
1683	1683_PBMC	chr11	3LTR	-	73707642
1683	1683_PBMC	chr11	3LTR	-	74056220
1683	1683_LN	chr11	5LTR	-	104716941
1683	1683_PBMC	chr11	5LTR	-	118885918
1683	1683_PBMC	chr12	3LTR	-	6967386
1683	1683_PBMC	chr12	3LTR	+	11853226
1683	1683_PBMC	chr12	3LTR	-	11875628
1683	1683_PBMC	chr12	3LTR	+	23993224
1683	1683_LN	chr12	5LTR	-	49093196
1683	1683_PBMC	chr12	5LTR	-	50147010
1683	1683_LN	chr12	5LTR	-	51499985
1683	1683_PBMC	chr12	3LTR	-	51499985
1683	1683_LN	chr12	5LTR	-	54668678
1683	1683_LN	chr12	3LTR	-	54831935
1683	1683_PBMC	chr12	3LTR	-	57705671
1683	1683_PBMC	chr12	3LTR	-	96689028
1683	1683_PBMC	chr12	5LTR	-	96689028
1683	1683_LN	chr12	3LTR	+	111385327
1683	1683_PBMC	chr12	5LTR	-	121243966
1683	1683_PBMC	chr12	3LTR	-	123764430
1683	1683_PBMC	chr13	3LTR	-	41004898
1683	1683_PBMC	chr13	5LTR	-	48988169
1683	1683_LN	chr13	3LTR	-	51008429
1683	1683_PBMC	chr13	5LTR	+	51166939
1683	1683_PBMC	chr13	3LTR	+	65077293
1683	1683_LN	chr14	5LTR	+	70898144
1683	1683_PBMC	chr14	3LTR	+	88462547
1683	1683_LN	chr15	3LTR	-	37143288
1683	1683_PBMC	chr15	3LTR	+	37502494
1683	1683_PBMC	chr15	3LTR	-	41963050
1683	1683_PBMC	chr15	3LTR	+	42554457
1683	1683_PBMC	chr15	3LTR	-	62272072
1683	1683_PBMC	chr15	5LTR	-	63832458
1683	1683_LN	chr15	3LTR	-	90251179
1683	1683_PBMC	chr15	3LTR	+	90955323
1683	1683_LN	chr15	5LTR	-	97991195
1683	1683_LN	chr16	5LTR	-	2641499
1683	1683_LN	chr16	5LTR	-	2641499
1683	1683_PBMC	chr16	3LTR	-	4541327
1683	1683_PBMC	chr16	3LTR	+	18808304
1683	1683_LN	chr16	3LTR	-	22039257
1683	1683_PBMC	chr16	5LTR	-	24205259
1683	1683_PBMC	chr16	5LTR	+	58611700
1683	1683_PBMC	chr16	5LTR	-	75102873
1683	1683_PBMC	chr17	5LTR	+	1583672
1683	1683_PBMC	chr17	3LTR	+	1747157
1683	1683_PBMC	chr17	3LTR	+	2038687
1683	1683_PBMC	chr17	5LTR	+	7473127
1683	1683_LN	chr17	3LTR	-	7764792
1683	1683_PBMC	chr17	3LTR	-	30303477
1683	1683_LN	chr17	3LTR	+	35327305
1683	1683_LN	chr17	5LTR	+	35327305
1683	1683_LN	chr17	5LTR	+	35327305
1683	1683_PBMC	chr17	5LTR	+	35327305
1683	1683_PBMC	chr17	5LTR	-	36879534
1683	1683_LN	chr17	3LTR	+	40384233
1683	1683_PBMC	chr17	5LTR	+	40524925
1683	1683_LN	chr17	3LTR	-	41327780
1683	1683_LN	chr17	5LTR	-	61186656
1683	1683_PBMC	chr17	5LTR	+	75412457
1683	1683_PBMC	chr17	3LTR	+	75999583
1683	1683_PBMC	chr18	3LTR	-	719276
1683	1683_PBMC	chr18	5LTR	-	719276
1683	1683_PBMC	chr18	3LTR	+	35589084
1683	1683_PBMC	chr18	5LTR	+	35589084
1683	1683_PBMC	chr18	3LTR	+	35589085
1683	1683_PBMC	chr18	5LTR	+	43422272
1683	1683_PBMC	chr18	5LTR	+	43422272
1683	1683_PBMC	chr18	5LTR	+	43422272
1683	1683_PBMC	chr19	3LTR	+	1090299
1683	1683_PBMC	chr19	3LTR	-	1157645
1683	1683_PBMC	chr19	5LTR	-	2093120
1683	1683_LN	chr19	3LTR	+	3183039
1683	1683_PBMC	chr19	3LTR	+	3549008
1683	1683_PBMC	chr19	5LTR	-	5602895
1683	1683_PBMC	chr19	3LTR	-	6836948
1683	1683_PBMC	chr19	5LTR	-	6836948
1683	1683_LN	chr19	3LTR	-	17880010
1683	1683_PBMC	chr19	5LTR	+	19683545
1683	1683_PBMC	chr19	3LTR	+	44768968
1683	1683_PBMC	chr19	3LTR	+	45611438
1683	1683_PBMC	chr19	3LTR	-	47635785
1683	1683_LN	chr19	3LTR	+	49485888
1683	1683_PBMC	chr19	3LTR	+	55744738
1683	1683_PBMC	chr2	3LTR	+	28268980
1683	1683_PBMC	chr2	3LTR	+	28268980
1683	1683_PBMC	chr2	3LTR	+	43471765
1683	1683_LN	chr2	3LTR	-	44184733
1683	1683_LN	chr2	5LTR	-	54751862
1683	1683_PBMC	chr2	3LTR	-	61552243
1683	1683_LN	chr2	3LTR	+	99788978
1683	1683_PBMC	chr2	3LTR	-	125535398
1683	1683_LN	chr2	3LTR	+	175452717
1683	1683_LN	chr2	3LTR	+	175452717
1683	1683_LN	chr2	3LTR	+	175452717
1683	1683_LN	chr2	5LTR	+	175452717
1683	1683_LN	chr2	5LTR	+	175452717
1683	1683_LN	chr2	5LTR	+	175452717
1683	1683_LN	chr2	5LTR	+	175452717
1683	1683_PBMC	chr2	3LTR	+	175452717
1683	1683_PBMC	chr2	3LTR	+	175452717
1683	1683_PBMC	chr2	3LTR	+	175452717
1683	1683_PBMC	chr2	3LTR	+	175452717
1683	1683_PBMC	chr2	3LTR	+	175452717
1683	1683_PBMC	chr2	5LTR	+	175452717
1683	1683_PBMC	chr2	5LTR	+	175452717
1683	1683_PBMC	chr2	5LTR	+	175452717
1683	1683_PBMC	chr2	3LTR	+	191759891
1683	1683_PBMC	chr2	5LTR	-	236664126
1683	1683_PBMC	chr2	5LTR	-	236664126
1683	1683_PBMC	chr2	5LTR	-	236664126
1683	1683_PBMC	chr20	3LTR	-	3605340
1683	1683_PBMC	chr20	3LTR	+	32242290
1683	1683_PBMC	chr20	3LTR	+	35133687
1683	1683_LN	chr20	5LTR	-	35570399
1683	1683_PBMC	chr20	3LTR	+	62585559
1683	1683_LN	chr21	3LTR	+	30599186
1683	1683_PBMC	chr22	3LTR	+	37362696
1683	1683_PBMC	chr22	3LTR	+	38915293
1683	1683_PBMC	chr22	3LTR	+	41223753
1683	1683_PBMC	chr22	5LTR	+	49027209
1683	1683_PBMC	chr3	5LTR	-	48585117
1683	1683_LN	chr3	5LTR	-	94920729
1683	1683_PBMC	chr3	3LTR	+	114813498
1683	1683_LN	chr3	5LTR	+	186236972
1683	1683_PBMC	chr3	3LTR	-	187673512
1683	1683_LN	chr4	3LTR	-	36198690
1683	1683_PBMC	chr4	3LTR	+	39512841
1683	1683_PBMC	chr4	5LTR	+	70381928
1683	1683_LN	chr5	5LTR	-	49686693
1683	1683_PBMC	chr5	3LTR	+	49707362
1683	1683_PBMC	chr5	5LTR	-	133711055
1683	1683_PBMC	chr5	5LTR	-	134177674
1683	1683_PBMC	chr5	3LTR	-	175752170
1683	1683_PBMC	chr6	3LTR	+	27302767
1683	1683_PBMC	chr6	5LTR	+	31360775
1683	1683_LN	chr6	3LTR	+	35561678
1683	1683_LN	chr6	5LTR	+	36037250
1683	1683_PBMC	chr6	3LTR	+	36037250
1683	1683_PBMC	chr6	5LTR	-	90727794
1683	1683_PBMC	chr6	3LTR	-	90738900
1683	1683_PBMC	chr6	3LTR	+	96770448
1683	1683_PBMC	chr6	3LTR	+	143214931
1683	1683_LN	chr7	5LTR	+	8122494
1683	1683_PBMC	chr7	3LTR	-	44477887
1683	1683_LN	chr7	5LTR	-	70804630
1683	1683_PBMC	chr7	3LTR	+	99265695
1683	1683_PBMC	chr7	5LTR	+	99784282
1683	1683_LN	chr7	5LTR	-	104723889
1683	1683_PBMC	chr7	3LTR	-	131037877
1683	1683_PBMC	chr7	3LTR	+	142959008
1683	1683_PBMC	chr8	3LTR	-	32050840
1683	1683_PBMC	chr8	3LTR	-	42381373
1683	1683_PBMC	chr8	3LTR	+	112267396
1683	1683_PBMC	chr8	3LTR	-	116590061
1683	1683_PBMC	chr8	3LTR	-	119694107
1683	1683_LN	chr9	5LTR	-	33986473
1683	1683_LN	chr9	5LTR	-	123946720
1683	1683_PBMC	chr9	5LTR	-	129101295
1683	1683_PBMC	chr9	5LTR	-	132794282
1683	1683_PBMC	chr9	3LTR	+	140557782
1683	1683_PBMC	chrUn_gl000220	3LTR	+	121898
1683	1683_LN	chrX	5LTR	-	46715373
1683	1683_PBMC	chrX	5LTR	+	54035186
1683	1683_LN	chrX	5LTR	+	97492120
1683	1683_LN	chrX	5LTR	-	113322282
1683	1683_LN	chrX	5LTR	-	123511299
1683	1683_LN	chrX	3LTR	-	135677955
2669	2669_LNMC	chr1	5LTR	+	1321864
2669	2669_PBMC	chr1	5LTR	+	1543480
2669	2669_LNMC	chr1	3LTR	-	8813339
2669	2669_LNMC	chr1	3LTR	+	9815136
2669	2669_LNMC	chr1	5LTR	+	12402282
2669	2669_LNMC	chr1	3LTR	-	14066403
2669	2669_LNMC	chr1	5LTR	+	14085635
2669	2669_LNMC	chr1	3LTR	-	15882376
2669	2669_LNMC	chr1	3LTR	-	15882376
2669	2669_LNMC	chr1	3LTR	-	15882376
2669	2669_LNMC	chr1	3LTR	-	15882376
2669	2669_LNMC	chr1	3LTR	-	15882376
2669	2669_LNMC	chr1	5LTR	+	16224520
2669	2669_PBMC	chr1	3LTR	+	16621359
2669	2669_LNMC	chr1	3LTR	+	16653771
2669	2669_PBMC	chr1	3LTR	-	22061724
2669	2669_PBMC	chr1	3LTR	+	23660237
2669	2669_LNMC	chr1	3LTR	+	23665530
2669	2669_LNMC	chr1	5LTR	-	23943018
2669	2669_LNMC	chr1	5LTR	-	24980712
2669	2669_LNMC	chr1	3LTR	-	26223165
2669	2669_LNMC	chr1	3LTR	+	29259461
2669	2669_LNMC	chr1	3LTR	+	29259461
2669	2669_LNMC	chr1	3LTR	+	29259461
2669	2669_LNMC	chr1	3LTR	+	29259461
2669	2669_LNMC	chr1	3LTR	+	29259461
2669	2669_LNMC	chr1	3LTR	+	29259461
2669	2669_LNMC	chr1	3LTR	+	29259461
2669	2669_LNMC	chr1	3LTR	+	29259461
2669	2669_LNMC	chr1	3LTR	-	32288077
2669	2669_LNMC	chr1	3LTR	+	32379689
2669	2669_LNMC	chr1	5LTR	-	32749983
2669	2669_LNMC	chr1	3LTR	+	37974878
2669	2669_LNMC	chr1	5LTR	+	37974878
2669	2669_LNMC	chr1	3LTR	-	39686075
2669	2669_LNMC	chr1	3LTR	+	45438726
2669	2669_LNMC	chr1	5LTR	+	46147495
2669	2669_PBMC	chr1	5LTR	+	51921835
2669	2669_LNMC	chr1	3LTR	+	51978993
2669	2669_LNMC	chr1	3LTR	+	72989474
2669	2669_LNMC	chr1	5LTR	-	93205776
2669	2669_LNMC	chr1	3LTR	+	112242551
2669	2669_LNMC	chr1	3LTR	-	145627461
2669	2669_LNMC	chr1	3LTR	-	148236109
2669	2669_LNMC	chr1	5LTR	-	151883079
2669	2669_LNMC	chr1	3LTR	-	152432560
2669	2669_LNMC	chr1	5LTR	+	153879631
2669	2669_LNMC	chr1	3LTR	+	154093961
2669	2669_LNMC	chr1	5LTR	-	154113979
2669	2669_LNMC	chr1	5LTR	+	155435024
2669	2669_LNMC	chr1	5LTR	+	155435024
2669	2669_LNMC	chr1	5LTR	+	155435024
2669	2669_LNMC	chr1	3LTR	+	155496391
2669	2669_LNMC	chr1	5LTR	+	160564531
2669	2669_LNMC	chr1	5LTR	-	161617115
2669	2669_LNMC	chr1	5LTR	+	170721249
2669	2669_PBMC	chr1	3LTR	+	179308680
2669	2669_LNMC	chr1	3LTR	-	179981387
2669	2669_LNMC	chr1	5LTR	-	182336760
2669	2669_LNMC	chr1	5LTR	-	183150142
2669	2669_LNMC	chr1	3LTR	-	200370094
2669	2669_PBMC	chr1	3LTR	+	205584706
2669	2669_PBMC	chr1	5LTR	+	206775532
2669	2669_PBMC	chr1	3LTR	+	227841581
2669	2669_LNMC	chr1	3LTR	+	236737898
2669	2669_LNMC	chr1	5LTR	+	242046046
2669	2669_LNMC	chr1	3LTR	+	243764700
2669	2669_PBMC	chr10	5LTR	+	5815537
2669	2669_PBMC	chr10	5LTR	-	12807015
2669	2669_LNMC	chr10	3LTR	-	15332995
2669	2669_PBMC	chr10	3LTR	-	32290704
2669	2669_LNMC	chr10	5LTR	+	33191167
2669	2669_LNMC	chr10	5LTR	+	52220255
2669	2669_LNMC	chr10	3LTR	+	73953989
2669	2669_PBMC	chr10	5LTR	-	73962357
2669	2669_PBMC	chr10	5LTR	+	74901362
2669	2669_LNMC	chr10	3LTR	-	89688149
2669	2669_PBMC	chr10	5LTR	-	90926194
2669	2669_LNMC	chr10	3LTR	-	101287453
2669	2669_LNMC	chr10	3LTR	-	101319397
2669	2669_LNMC	chr10	5LTR	+	103572345
2669	2669_LNMC	chr10	3LTR	-	105778211
2669	2669_PBMC	chr10	5LTR	+	121340171
2669	2669_PBMC	chr10	5LTR	+	121340648
2669	2669_PBMC	chr10	5LTR	+	124751642
2669	2669_LNMC	chr10	3LTR	+	126471239
2669	2669_LNMC	chr10	5LTR	-	126471252
2669	2669_LNMC	chr11	3LTR	-	249252
2669	2669_LNMC	chr11	3LTR	+	517083
